Name;Long;Lat;ModuleName;ModuleType
Indoor;2.0683770179749;47.851787567139;Exterieur;Outdoor
Timestamp;"Timezone : Europe/Paris";Temperature;Humidity
1577838600;"2020/01/01 01:30:00";1.7;100
1577849400;"2020/01/01 04:30:00";1.8;100
1577860200;"2020/01/01 07:30:00";2;100
1577871000;"2020/01/01 10:30:00";3.2;100
1577881800;"2020/01/01 13:30:00";5.4;100
1577892600;"2020/01/01 16:30:00";6.6;100
1577903400;"2020/01/01 19:30:00";6.7;100
1577914200;"2020/01/01 22:30:00";7;100
1577925000;"2020/01/02 01:30:00";7.2;100
1577935800;"2020/01/02 04:30:00";7.4;100
1577946600;"2020/01/02 07:30:00";7.5;100
1577957400;"2020/01/02 10:30:00";7.8;100
1577968200;"2020/01/02 13:30:00";8.6;100
1577979000;"2020/01/02 16:30:00";8.4;100
1577989800;"2020/01/02 19:30:00";8.3;100
1578000600;"2020/01/02 22:30:00";8.2;100
1578011400;"2020/01/03 01:30:00";7.3;100
1578022200;"2020/01/03 04:30:00";7.3;99
1578033000;"2020/01/03 07:30:00";7.6;100
1578043800;"2020/01/03 10:30:00";8.7;100
1578054600;"2020/01/03 13:30:00";10.5;100
1578065400;"2020/01/03 16:30:00";10;100
1578076200;"2020/01/03 19:30:00";9.8;100
1578087000;"2020/01/03 22:30:00";8.5;100
1578097800;"2020/01/04 01:30:00";6.9;100
1578108600;"2020/01/04 04:30:00";5.6;100
1578119400;"2020/01/04 07:30:00";4;100
1578130200;"2020/01/04 10:30:00";4.5;100
1578141000;"2020/01/04 13:30:00";7.1;97
1578151800;"2020/01/04 16:30:00";7.5;94
1578162600;"2020/01/04 19:30:00";6.9;97
1578173400;"2020/01/04 22:30:00";6.6;98
1578184200;"2020/01/05 01:30:00";6.3;99
1578195000;"2020/01/05 04:30:00";6.2;100
1578205800;"2020/01/05 07:30:00";6.1;100
1578216600;"2020/01/05 10:30:00";6.5;100
1578227400;"2020/01/05 13:30:00";8;92
1578238200;"2020/01/05 16:30:00";7.4;87
1578249000;"2020/01/05 19:30:00";5.5;91
1578259800;"2020/01/05 22:30:00";3;95
1578270600;"2020/01/06 01:30:00";2.1;96
1578281400;"2020/01/06 04:30:00";1.3;98
1578292200;"2020/01/06 07:30:00";0.7;99
1578303000;"2020/01/06 10:30:00";2.8;97
1578313800;"2020/01/06 13:30:00";7;86
1578324600;"2020/01/06 16:30:00";7.7;84
1578335400;"2020/01/06 19:30:00";6.1;93
1578346200;"2020/01/06 22:30:00";6.5;96
1578357000;"2020/01/07 01:30:00";6.5;99
1578367800;"2020/01/07 04:30:00";6.6;100
1578378600;"2020/01/07 07:30:00";6.4;100
1578389400;"2020/01/07 10:30:00";6.7;100
1578400200;"2020/01/07 13:30:00";7.8;100
1578411000;"2020/01/07 16:30:00";8.6;100
1578421800;"2020/01/07 19:30:00";8.7;100
1578432600;"2020/01/07 22:30:00";9.1;100
1578443400;"2020/01/08 01:30:00";9.8;100
1578454200;"2020/01/08 04:30:00";10.4;100
1578465000;"2020/01/08 07:30:00";10.6;100
1578475800;"2020/01/08 10:30:00";10.8;100
1578486600;"2020/01/08 13:30:00";11.2;100
1578497400;"2020/01/08 16:30:00";11.1;100
1578508200;"2020/01/08 19:30:00";10.6;100
1578519000;"2020/01/08 22:30:00";10.7;100
1578529800;"2020/01/09 01:30:00";10.7;100
1578540600;"2020/01/09 04:30:00";10.8;100
1578551400;"2020/01/09 07:30:00";10.7;100
1578562200;"2020/01/09 10:30:00";10.9;99
1578573000;"2020/01/09 13:30:00";11.6;93
1578583800;"2020/01/09 16:30:00";11.5;91
1578594600;"2020/01/09 19:30:00";9.8;100
1578605400;"2020/01/09 22:30:00";9.3;100
1578616200;"2020/01/10 01:30:00";9.3;99
1578627000;"2020/01/10 04:30:00";8.9;100
1578637800;"2020/01/10 07:30:00";8.4;100
1578648600;"2020/01/10 10:30:00";7.6;98
1578659400;"2020/01/10 13:30:00";7.9;94
1578670200;"2020/01/10 16:30:00";7.9;94
1578681000;"2020/01/10 19:30:00";7.4;94
1578691800;"2020/01/10 22:30:00";5.9;97
1578702600;"2020/01/11 01:30:00";5.9;98
1578713400;"2020/01/11 04:30:00";4.7;97
1578724200;"2020/01/11 07:30:00";3.1;99
1578735000;"2020/01/11 10:30:00";4.7;96
1578745800;"2020/01/11 13:30:00";8.2;76
1578756600;"2020/01/11 16:30:00";7.2;82
1578767400;"2020/01/11 19:30:00";4;93
1578778200;"2020/01/11 22:30:00";2.6;96
1578789000;"2020/01/12 01:30:00";2;98
1578799800;"2020/01/12 04:30:00";2.2;98
1578810600;"2020/01/12 07:30:00";3.8;97
1578821400;"2020/01/12 10:30:00";5.6;95
1578832200;"2020/01/12 13:30:00";7.6;94
1578843000;"2020/01/12 16:30:00";7.2;100
1578853800;"2020/01/12 19:30:00";7.2;100
1578864600;"2020/01/12 22:30:00";7.5;100
1578875400;"2020/01/13 01:30:00";7.5;100
1578886200;"2020/01/13 04:30:00";7.2;100
1578897000;"2020/01/13 07:30:00";6.9;100
1578907800;"2020/01/13 10:30:00";7.3;100
1578918600;"2020/01/13 13:30:00";8.7;100
1578929400;"2020/01/13 16:30:00";9.4;100
1578940200;"2020/01/13 19:30:00";9.2;95
1578951000;"2020/01/13 22:30:00";9;82
1578961800;"2020/01/14 01:30:00";8.5;75
1578972600;"2020/01/14 04:30:00";8.7;75
1579005000;"2020/01/14 13:30:00";10.8;77
1579015800;"2020/01/14 16:30:00";11.7;67
